TEMP (°C),HUM (%),PNM (hPa),DD (g),FF (km/h),ALTURA,LAT,LON,HORA_sen,HORA_cos,PROV_BUENOS AIRES,PROV_CAPITAL FEDERAL,PROV_CATAMARCA,PROV_CHACO,PROV_CHUBUT,PROV_CORDOBA,PROV_CORRIENTES,PROV_ENTRE RIOS,PROV_FORMOSA,PROV_JUJUY,PROV_LA PAMPA,PROV_LA RIOJA,PROV_MENDOZA,PROV_MISIONES,PROV_NEUQUEN,PROV_RIO NEGRO,PROV_SALTA,PROV_SAN JUAN,PROV_SAN LUIS,PROV_SANTA CRUZ,PROV_SANTA FE,PROV_SANTIAGO DEL ES,PROV_TIERRA DEL FUEG,PROV_TUCUMAN
13.7,88,1020.2,80,13,6.0,-34.55,-58.416666666666664,0.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.6,91,1019.6,80,11,6.0,-34.55,-58.416666666666664,0.25881904510252074,0.9659258262890683,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.4,91,1019.3,80,11,6.0,-34.55,-58.416666666666664,0.49999999999999994,0.8660254037844387,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.4,94,1018.7,80,13,6.0,-34.55,-58.416666666666664,0.7071067811865476,0.7071067811865476,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.7,91,1018.2,90,9,6.0,-34.55,-58.416666666666664,0.8660254037844386,0.5000000000000001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.6,91,1017.8,80,13,6.0,-34.55,-58.416666666666664,0.9659258262890683,0.25881904510252074,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.6,93,1017.8,100,11,6.0,-34.55,-58.416666666666664,1.0,6.123233995736766e-17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.8,96,1017.6,90,13,6.0,-34.55,-58.416666666666664,0.9659258262890683,-0.25881904510252063,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.8,94,1017.7,80,11,6.0,-34.55,-58.416666666666664,0.8660254037844387,-0.4999999999999998,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14.0,96,1017.7,80,13,6.0,-34.55,-58.416666666666664,0.7071067811865476,-0.7071067811865475,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14.6,93,1017.5,90,15,6.0,-34.55,-58.416666666666664,0.49999999999999994,-0.8660254037844387,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.5,87,1017.5,90,13,6.0,-34.55,-58.416666666666664,0.258819045102521,-0.9659258262890682,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.4,87,1017.1,90,11,6.0,-34.55,-58.416666666666664,1.2246467991473532e-16,-1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.7,84,1016.2,80,7,6.0,-34.55,-58.416666666666664,-0.2588190451025208,-0.9659258262890683,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.4,85,1015.1,80,7,6.0,-34.55,-58.416666666666664,-0.4999999999999997,-0.8660254037844388,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.7,85,1014.0,110,6,6.0,-34.55,-58.416666666666664,-0.7071067811865471,-0.7071067811865479,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.0,84,1013.4,90,7,6.0,-34.55,-58.416666666666664,-0.8660254037844385,-0.5000000000000004,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
